name,corrected_company
amzam,Texas Tribune
anabecker,Wall Street Journal
anniedaniel,Texas Tribune
aquintero4354,Los Angeles Times
armendariz,New York Times
burtherman,Hacks/Hackers
gordonje,California Civic Data Coalition
mjenner,University of Missouri
momiperalta,La Nacion
ndhapple,Austin American-Statesman
priyakkumar,Los Angeles Times
roncampbell,NBC
tbone,Los Angeles Times
underthecurve,Mozilla OpenNews
vigneshramachandran,Stanford
yanofsky,Quartz
tchristianmiller,ProPublica
joemfox,Los Angeles Times
macdiva,New York Times
maloym,Los Angeles Times
melissaleu,Los Angeles Times
merbroussard,NYU
fcoel,La Nacion
absolutevan,Arizona Center for Investigative Reporting
acoreynews,Arizona Republic
anthonydb,DocumentCloud
charlex,Los Angeles Times
